time_s	label (-1=bg,0=uv,1=v)
0.008000	-1
0.016000	-1
0.024000	-1
0.032000	-1
0.040000	-1
0.048000	-1
0.056000	-1
0.064000	-1
0.072000	-1
0.080000	-1
0.088000	-1
0.096000	-1
0.104000	-1
0.112000	-1
0.120000	-1
0.128000	-1
0.136000	-1
0.144000	-1
0.152000	-1
0.160000	-1
0.168000	-1
0.176000	-1
0.184000	-1
0.192000	-1
0.200000	-1
0.208000	-1
0.216000	-1
0.224000	-1
0.232000	-1
0.240000	-1
0.248000	-1
0.256000	-1
0.264000	-1
0.272000	-1
0.280000	-1
0.288000	-1
0.296000	-1
0.304000	-1
0.312000	-1
0.320000	-1
0.328000	-1
0.336000	-1
0.344000	-1
0.352000	-1
0.360000	-1
0.368000	-1
0.376000	-1
0.384000	-1
0.392000	-1
0.400000	-1
0.408000	-1
0.416000	-1
0.424000	-1
0.432000	-1
0.440000	-1
0.448000	-1
0.456000	-1
0.464000	1
0.472000	1
0.480000	1
0.488000	1
0.496000	1
0.504000	1
0.512000	1
0.520000	1
0.528000	1
0.536000	1
0.544000	1
0.552000	1
0.560000	1
0.568000	0
0.576000	0
0.584000	0
0.592000	0
0.600000	0
0.608000	0
0.616000	0
0.624000	0
0.632000	0
0.640000	0
0.648000	0
0.656000	0
0.664000	0
0.672000	0
0.680000	0
0.688000	0
0.696000	0
0.704000	0
0.712000	0
0.720000	0
0.728000	0
0.736000	0
0.744000	0
0.752000	0
0.760000	0
0.768000	0
0.776000	0
0.784000	0
0.792000	0
0.800000	0
0.808000	0
0.816000	0
0.824000	0
0.832000	0
0.840000	0
0.848000	0
0.856000	0
0.864000	0
0.872000	0
0.880000	1
0.888000	1
0.896000	1
0.904000	1
0.912000	1
0.920000	1
0.928000	1
0.936000	1
0.944000	1
0.952000	1
0.960000	1
0.968000	1
0.976000	1
0.984000	1
0.992000	1
1.000000	1
1.008000	1
1.016000	1
1.024000	1
1.032000	-1
1.040000	-1
1.048000	-1
1.056000	-1
1.064000	-1
1.072000	-1
1.080000	-1
1.088000	0
1.096000	0
1.104000	0
1.112000	0
1.120000	0
1.128000	0
1.136000	0
1.144000	0
1.152000	0
1.160000	0
1.168000	0
1.176000	0
1.184000	0
1.192000	0
1.200000	0
1.208000	-1
1.216000	-1
1.224000	-1
1.232000	-1
1.240000	-1
1.248000	-1
1.256000	-1
1.264000	-1
1.272000	-1
1.280000	-1
1.288000	-1
1.296000	-1
1.304000	-1
1.312000	-1
1.320000	-1
1.328000	-1
1.336000	-1
1.344000	-1
1.352000	-1
1.360000	-1
1.368000	-1
1.376000	-1
1.384000	-1
1.392000	-1
1.400000	-1
1.408000	-1
1.416000	-1
1.424000	-1
1.432000	-1
1.440000	-1
1.448000	-1
1.456000	-1
1.464000	-1
1.472000	-1
1.480000	-1
1.488000	-1
1.496000	-1
1.504000	-1
1.512000	-1
1.520000	-1
1.528000	-1
1.536000	-1
1.544000	-1
1.552000	-1
1.560000	-1
1.568000	-1
1.576000	-1
1.584000	-1
1.592000	-1
1.600000	-1
1.608000	-1
1.616000	-1
1.624000	-1
1.632000	-1
1.640000	-1
1.648000	-1
1.656000	-1
1.664000	-1
1.672000	-1
1.680000	-1
1.688000	-1
1.696000	-1
1.704000	-1
1.712000	-1
1.720000	-1
1.728000	-1
1.736000	-1
1.744000	-1
1.752000	-1
1.760000	-1
1.768000	-1
1.776000	-1
1.784000	-1
1.792000	-1
1.800000	-1
1.808000	-1
1.816000	-1
1.824000	-1
1.832000	-1
1.840000	-1
1.848000	-1
1.856000	-1
1.864000	-1
1.872000	-1
1.880000	-1
1.888000	-1
1.896000	-1
1.904000	-1
1.912000	-1
1.920000	-1
1.928000	-1
1.936000	-1
1.944000	-1
1.952000	-1
1.960000	-1
1.968000	-1
1.976000	-1
1.984000	-1
1.992000	-1
